15	11	E	-1.0139728251552261E7	134
emissionprobs	11	3	H2AZ	1	0.35677008297037294
emissionprobs	11	4	H3K27ac	0	0.9165940256608696
emissionprobs	11	4	H3K27ac	1	0.08340597433913045
emissionprobs	11	5	H3K36me3	0	0.9952665759455566
emissionprobs	11	5	H3K36me3	1	0.004733424054443548
emissionprobs	11	6	H3K4me1	0	0.17277315623771033
emissionprobs	11	6	H3K4me1	1	0.8272268437622898
emissionprobs	11	7	H3K4me2	0	0.07132529194078342
emissionprobs	11	7	H3K4me2	1	0.9286747080592166
emissionprobs	11	8	H3K4me3	0	0.5018458303976205
emissionprobs	11	8	H3K4me3	1	0.49815416960237957
emissionprobs	11	9	H3K9ac	0	0.7148563043843806
emissionprobs	11	9	H3K9ac	1	0.2851436956156194
emissionprobs	11	10	H4K20me1	0	0.9560045086653832
emissionprobs	11	10	H4K20me1	1	0.0439954913346167
emissionprobs	12	0	CTCF	0	0.707712748702697
emissionprobs	12	0	CTCF	1	0.2922872512973031
emissionprobs	12	1	Control	0	0.9427234057249242
emissionprobs	12	1	Control	1	0.0572765942750758
emissionprobs	12	2	EZH2	0	0.8365145714718334
emissionprobs	12	2	EZH2	1	0.16348542852816664
emissionprobs	12	3	H2AZ	0	0.13322510839428728
emissionprobs	12	3	H2AZ	1	0.8667748916057127
emissionprobs	12	4	H3K27ac	0	0.06099858523916571
emissionprobs	12	4	H3K27ac	1	0.9390014147608343
emissionprobs	12	5	H3K36me3	0	0.9780235439868207
emissionprobs	12	5	H3K36me3	1	0.02197645601317932
emissionprobs	12	6	H3K4me1	0	0.34213390078635797
emissionprobs	12	6	H3K4me1	1	0.657866099213642
emissionprobs	12	7	H3K4me2	0	0.00966622941660228
emissionprobs	12	7	H3K4me2	1	0.9903337705833978
emissionprobs	12	8	H3K4me3	0	0.010209568978092267
emissionprobs	12	8	H3K4me3	1	0.9897904310219078
emissionprobs	12	9	H3K9ac	0	0.014838757108294073
emissionprobs	12	9	H3K9ac	1	0.9851612428917059
emissionprobs	12	10	H4K20me1	0	0.8960167834118258
emissionprobs	12	10	H4K20me1	1	0.1039832165881742
emissionprobs	13	0	CTCF	0	0.9024552043378251
emissionprobs	13	0	CTCF	1	0.09754479566217487
emissionprobs	13	1	Control	0	0.9476377100350574
emissionprobs	13	1	Control	1	0.05236228996494264
emissionprobs	13	2	EZH2	0	0.906241395312283
emissionprobs	13	2	EZH2	1	0.09375860468771695
emissionprobs	13	3	H2AZ	0	0.5869726234670873
emissionprobs	13	3	H2AZ	1	0.41302737653291266
emissionprobs	13	4	H3K27ac	0	0.021846873047166936
emissionprobs	13	4	H3K27ac	1	0.9781531269528331
