15	11	E	-1.02790835634026E7	153
emissionprobs	7	7	H3K4me2	0	0.9771429583795301
emissionprobs	7	7	H3K4me2	1	0.022857041620469892
emissionprobs	7	8	H3K4me3	0	0.9952020737064218
emissionprobs	7	8	H3K4me3	1	0.004797926293578219
emissionprobs	7	9	H3K9ac	0	0.9903680748746663
emissionprobs	7	9	H3K9ac	1	0.009631925125333745
emissionprobs	7	10	H4K20me1	0	0.9883973439389239
emissionprobs	7	10	H4K20me1	1	0.0116026560610762
emissionprobs	8	0	CTCF	0	0.937321630989089
emissionprobs	8	0	CTCF	1	0.06267836901091094
emissionprobs	8	1	Control	0	0.992545253559507
emissionprobs	8	1	Control	1	0.0074547464404930595
emissionprobs	8	2	EZH2	0	0.9967394244252571
emissionprobs	8	2	EZH2	1	0.00326057557474297
emissionprobs	8	3	H2AZ	0	0.9683799289665171
emissionprobs	8	3	H2AZ	1	0.031620071033482855
emissionprobs	8	4	H3K27ac	0	0.9933704735688236
emissionprobs	8	4	H3K27ac	1	0.006629526431176397
emissionprobs	8	5	H3K36me3	0	0.9990954423583992
emissionprobs	8	5	H3K36me3	1	9.045576416007237E-4
emissionprobs	8	6	H3K4me1	0	0.9993109695017107
emissionprobs	8	6	H3K4me1	1	6.890304982892901E-4
emissionprobs	8	7	H3K4me2	0	0.9977885948723592
emissionprobs	8	7	H3K4me2	1	0.0022114051276409404
emissionprobs	8	8	H3K4me3	0	0.999819006600217
emissionprobs	8	8	H3K4me3	1	1.8099339978295062E-4
emissionprobs	8	9	H3K9ac	0	0.9989727830897618
emissionprobs	8	9	H3K9ac	1	0.0010272169102381956
emissionprobs	8	10	H4K20me1	0	0.9989652194549017
emissionprobs	8	10	H4K20me1	1	0.001034780545098244
emissionprobs	9	0	CTCF	0	0.28295188108568853
emissionprobs	9	0	CTCF	1	0.7170481189143115
emissionprobs	9	1	Control	0	0.986945887671258
emissionprobs	9	1	Control	1	0.01305411232874198
emissionprobs	9	2	EZH2	0	0.9512717919753739
emissionprobs	9	2	EZH2	1	0.04872820802462613
emissionprobs	9	3	H2AZ	0	0.963962489902454
emissionprobs	9	3	H2AZ	1	0.03603751009754603
emissionprobs	9	4	H3K27ac	0	0.9966363696983797
emissionprobs	9	4	H3K27ac	1	0.003363630301620403
emissionprobs	9	5	H3K36me3	0	0.9986913178170541
emissionprobs	9	5	H3K36me3	1	0.0013086821829459577
emissionprobs	9	6	H3K4me1	0	0.9895701281955974
emissionprobs	9	6	H3K4me1	1	0.01042987180440269
emissionprobs	9	7	H3K4me2	0	0.9921964912142911
emissionprobs	9	7	H3K4me2	1	0.007803508785708859
emissionprobs	9	8	H3K4me3	0	0.9996565463378486
emissionprobs	9	8	H3K4me3	1	3.4345366215142177E-4
emissionprobs	9	9	H3K9ac	0	0.9967056010419297
emissionprobs	9	9	H3K9ac	1	0.0032943989580702464
emissionprobs	9	10	H4K20me1	0	0.9763576915388162
emissionprobs	9	10	H4K20me1	1	0.023642308461183762
emissionprobs	10	0	CTCF	0	0.9701109002157585
emissionprobs	10	0	CTCF	1	0.02988909978424152
emissionprobs	10	1	Control	0	0.9989896943800546
emissionprobs	10	1	Control	1	0.0010103056199453654
emissionprobs	10	2	EZH2	0	0.9958776419721925
emissionprobs	10	2	EZH2	1	0.004122358027807496
emissionprobs	10	3	H2AZ	0	0.9985496310000488
emissionprobs	10	3	H2AZ	1	0.0014503689999512382
emissionprobs	10	4	H3K27ac	0	0.9999517879473918
emissionprobs	10	4	H3K27ac	1	4.8212052608256705E-5
emissionprobs	10	5	H3K36me3	0	0.9998569287710553
emissionprobs	10	5	H3K36me3	1	1.4307122894483855E-4
emissionprobs	10	6	H3K4me1	0	0.9999110147366148
emissionprobs	10	6	H3K4me1	1	8.89852633852457E-5
emissionprobs	10	7	H3K4me2	0	0.999237379535091
emissionprobs	10	7	H3K4me2	1	7.626204649090569E-4
emissionprobs	10	8	H3K4me3	0	0.999972281166724
emissionprobs	10	8	H3K4me3	1	2.7718833276019506E-5
emissionprobs	10	9	H3K9ac	0	0.9999186920527773
emissionprobs	10	9	H3K9ac	1	8.130794722264801E-5
emissionprobs	10	10	H4K20me1	0	0.9994735845576757
emissionprobs	10	10	H4K20me1	1	5.264154423242846E-4
emissionprobs	11	0	CTCF	0	0.9416230834635857
emissionprobs	11	0	CTCF	1	0.058376916536414275
emissionprobs	11	1	Control	0	0.9956987939411044
emissionprobs	11	1	Control	1	0.004301206058895679
emissionprobs	11	2	EZH2	0	0.999749754751534
emissionprobs	11	2	EZH2	1	2.502452484660783E-4
emissionprobs	11	3	H2AZ	0	0.999884437490916
emissionprobs	11	3	H2AZ	1	1.1556250908394511E-4
emissionprobs	11	4	H3K27ac	0	0.9901747670048603
emissionprobs	11	4	H3K27ac	1	0.009825232995139687
emissionprobs	11	5	H3K36me3	0	0.9470067842143605
emissionprobs	11	5	H3K36me3	1	0.05299321578563953
emissionprobs	11	6	H3K4me1	0	0.9978621284302978
emissionprobs	11	6	H3K4me1	1	0.0021378715697022072
emissionprobs	11	7	H3K4me2	0	0.9962519129511948
emissionprobs	11	7	H3K4me2	1	0.0037480870488052266
emissionprobs	11	8	H3K4me3	0	0.9999118992596299
emissionprobs	11	8	H3K4me3	1	8.81007403701147E-5
emissionprobs	11	9	H3K9ac	0	0.9982290428743518
emissionprobs	11	9	H3K9ac	1	0.0017709571256483252
emissionprobs	11	10	H4K20me1	0	0.9861935055336464
emissionprobs	11	10	H4K20me1	1	0.01380649446635371
emissionprobs	12	0	CTCF	0	0.9139908690488093
emissionprobs	12	0	CTCF	1	0.08600913095119077
